,id,word,roles,and_roles,root,aor,imp,inf,root_cyr,stem oral/nasal,class,vowel,twol
152,168,ЕСТЬ,<кто:эрг; что:ном>,,√ikᵂon,ikᵂon/HL,ikᵂom/HL,ikunnu/HL,√иквон,n,0,0,0
153,169,ЕСТЬ,<кто:ном>,<эрг> ,√ikᵂon,ikᵂon/HL,ikᵂom/HL,ikunnu/HL,√иквон,n,0,0,0
154,171,ПИТЬ (залпом),<кто:эрг; что:ном>,,√c:'adi,c:'adi/HL,c:'ado/HL,c:'adu/HL,√цІцІади,o,0,0,0
155,171,ПИТЬ (глотками),<кто:эрг; что:ном>,,√ɬ:ibdi,ɬ:ibdi/HL,ɬ:ibdoo/HL,ɬ:ibdu/HL,√лълъибди,o,0,0,0
156,172,ЖЕВАТЬ,<кто:эрг; что:ном>,,√č'amdi,č'ammi/HL,č'ammo/HL,č'ammu/HL,√чІамди,?,0,0,0
157,173,ГРЫЗТЬ,<кто:эрг; что:ном>,,√qᵂ'ardi,qᵂ'ardi/HL,qᵂ'ardo/HL,qᵂ'ardu/HL,√къварди,o,0,0,0
158,174,СОСАТЬ (что-либо),<кто:эрг; что:ном>,,√c:'undi,c:'unni/HL,c:'unno/HL,c:'unnu/HL,√цІцІунди,n,0,0,0
159,174,СОСАТЬ (грудь),<кто:эрг; что:ном>,<кто:ном> ,√=oX:on,5 boX:on/H,5 boX:on/H,5 boX:innu/HHL,√=оххон,n,1,0,?
160,175,КУСАТЬ,<кто:эрг; кого:лок>,,√q'amdi,q'ammi/HL,q'ammo/HL,q'ammu/HL,√къамди,?,0,0,0
161,176,ЛИЗАТЬ,<кто:эрг; кого:ном>,,√lamdi,lammi/HL,lammo/HL,lammu/HL,√ламди,?,0,0,0
162,177,ЦЕЛОВАТЬ,<кто:эрг; кого:дат>,<эрг; лок> ,√hobbadi,hobbadi/HL,hobbado/HL,hobbadu/HL,√гьоббади,o,0,0,0
163,178,ГЛОТАТЬ,<кто:эрг; что:ном>,,√=Vk:'un,"5 bik:'un/HL, 5pl bok:'un/HL",5 bikᵂ:'on/HL,5 bik:'unnu/HL,√=VкІкІун,n,1,1,0
164,179,ПЛЕВАТЬ,<кто:эрг; на что:лок>,,√tudi,tudi/HL,tudo/HL,tudu/HL,√туди,o,0,0,0
165,180,БЛЕВАТЬ,<кто:ном>,,√k'ardi,k'ardi/HL,k'ardib/HL,k'ardu/HL,√кІарди,o,0,0,0
166,181,ОТРЫГИВАТЬ,<кто:ном>,,√wa?ešo,wa?ešo/HHL,wa?ešob/HHL,wa?ešdu/HHL,√ваъешо,o,0,0,0
167,181,ОТРЫГИВАТЬ,<кто:ном>,,√waʕešo,waʕešo/HHL,waʕešob/HHL,waʕešdu/HHL,√вагІешо,o,0,0,0
168,182,ЧИХАТЬ,<кто:эрг>,<ном> ,√ebčidi,ebčidi/HL,ebčidib/HL,ebčidu/HL,√ебчиди,o,0,0,0
169,183,КАШЛЯТЬ,<кто:эрг>,<ном> ,√uhudi,uhudi/HHL,uhudib/HHL,uhudu/HHL,√угьуди,o,0,0,0
170,184,МОЧИТЬСЯ,<кто:эрг>,<ном> ,√hink:'uš:i,hink:'uš:i/HHL,hink:'uš:ib/HHL,hink:'uš:du/HHL,√гьинкІкІущи,o,0,0,0
171,185,ИСПРАЖНЯТЬСЯ,<кто:эрг>,<ном> ,√č:imdi,č:immi/L,č:immib/L,č:immu/L,√ччимди,?,0,0,0
172,187,МЕРЗНУТЬ,<кто:ном>,,√zarXu,zarXu/L,zarXub/L,zarXudu/L,√зарху,o,0,0,0
173,187,МЕРЗНУТЬ,<кто:ном>,,√eRešo,"1 woRešo/HHL, 2 jeRešo",1 woRešob/HHL,1 woRešdu/HHL,√егъешо,o,0,0,0
174,188,ДРОЖАТЬ,<кто:ном>,,√č'irč'išo,č'irč'išo/HHL,č'irč'išob/HHL,č'irč'išdu/HHL,√чІирчІишо,o,0,0,0
175,189,ВЗДРАГИВАТЬ,<кто:ном>,,√lirdi,lirdi/L,lirdib/L,lirdu/L,√лирди,o,0,0,0
176,190,ПЛАКАТЬ,<кто:ном>,,√=ek'uli,"2 jek'uli/HL, 2pl jek'ulli",1 wok'ulib/HL,1 wok'ulidu/HL,√=екІули,o,1,0,1
177,191,ВСХЛИПЫВАТЬ,<кто:ном>,,√ɬ:imq'ešo,ɬ:imq'ešo/RH,ɬ:imq'ešob/RH,ɬ:imq'ešdu/RHL,√лълъимкъешо,o,0,0,0
178,192,СМЕЯТЬСЯ,<кто:ном; (над кем:лок)>,,√=eɬ:i,"1sg/pl woɬ:i/HL, 2sg/pl jeɬ:i",1 woɬ:ib/HL,1 woɬ:idu/HL,√=елълъи,o,1,0,1
179,193,УСТАВАТЬ,<кто:ном>,,√=aRi,"1 waRi/L, 2 jaRi",1 waRib/L,1 waRidu/L,√=агъи,o,1,0,0
180,194,СПАТЬ,<кто:ном>,,√L'iXon,L'iXon/HL,L'iXom/HL,L'iXinnu/HL,√кьихон,n,0,0,0
181,195,УМИРАТЬ,<кто:ном>,,√=Vč'o,"1 wuč'o/HL, 2 jič'o, 2pl joč'o",1 wuč'ob/HL,1 wuč'idu/HL,√=VчІо,o,1,1,0
182,196,УБИВАТЬ,<кто:эрг; кого:ном>,,√ǯ:abi,ǯ:abi/H,ǯ:abo/H,ǯ:abu/H,√джджаби,?,0,0,0
183,197,ЗАРЕЗАТЬ,<кто:эрг; кого:ном>,,√=Vqu,"3 biqu/HF, 3pl joqu",1 wuqᵂo/HF,1 wuqudu/HHL,√=Vхъу,o,1,1,0
184,198,СЛЫШАТЬ,<кто:дат; что:ном>,<афф; ном> ,√anɬi,anɬi/L,anɬib/L,anɬidu/L,√aнлъи,o,0,0,0
185,199,СЛУШАТЬ,<кто:ном; кого:лок>,,√anč:i,anč:i/L,anč:ib/L,anč:idu/L,√aнччи,o,0,0,0
186,200,ВИДЕТЬ,<кто:дат; кого:ном>,<афф; ном> ,√haGᵂo,haGᵂO/H,haGᵂob/H,haGidu/HHL,√гьакъгво,o,0,0,0
187,201,СМОТРЕТЬ,<кто:ном; на кого:лок>,<ном||эрг; лок> ,√harč'on,harč'on/H,harč'om/H,harč'innu/HHL,√гьарчІон,n,0,0,0
188,202,НЮХАТЬ,<кто:эрг; что:ном>,,√šundi,šunni/HL,šunno/HL,šunnu/HL,√шунди,n,0,0,0
189,203,"ХОТЕТЬ, ЛОВИТЬ",<кто:дат; что:ном||Предл>,<афф; ном> ,√hilu,hilu/HL,hilub/H,hiludu/HHL; PRS hilur/HL,√гьилу,o,0,0,0
190,204,"БОЯТЬСЯ, ПУГАТЬСЯ",<кто:ном; чего:лок>,,√sirdi,sirdi/HL,sirdib/HL,sirdu/HL,√сирди,o,0,0,0
191,206,РАДОВАТЬСЯ,<кто:ном>,,√=erhan,2sg/pl jerhan/HL,1 worham/HL,1 worhinnu/HL,√=ергьан,n,1,0,1
192,207,ВЕРИТЬ,<кто:ном; кому:лок>,,√bužu,bužu/H,bužub/H,bužudu/HHL,√бужу,o,0,0,0
193,208,ЗНАТЬ,<кто:дат; что:ном>,<афф; ном> ,√c'indi,c'inni/HL,c'innib/HL,c'innu/HL,√цІинди,n,0,0,0
194,209,ЗАБЫВАТЬ,<кто:дат; что:ном>,<афф; ном> ,√beč:o,beč:o/HL,beč:ob/HL,beč:idu/HL,√беччо,o,0,0,0
195,210,ПОНИМАТЬ,<кто:дат; что:ном>,<афф; ном> ,√bič:'undi,bič:'unni/HHL,bič:'unnib/HHL,bič:'unnu/HHL,√бичІчІунди,n,0,0,0
196,213,ХВАЛИТЬ,<кто:эрг; кого:ном>,,√=ec:iqi,2sg/pl jec:iqi/HHL,1 woc:iqo/HHL,1 woc:iqidu/HHL,√=еццихъи,o,1,0,1
197,214,СЧИТАТЬ,<кто:эрг; что:ном>,,√agᵂa,"2/3pl jagᵂa/HL, 1pl wagᵂa",3pl bagᵂo/HL,3pl bagudu/HL,√aгва,o,0,0,0
198,215,ЧИТАТЬ,<кто:эрг; что:ном>,,√ali,"5 bali/L, 4 rali",5 balo/L,5 balidu/L,√aли,o,0,0,0
199,216,ПИСАТЬ,<кто:эрг; что:ном>,,√qᵂardi,qᵂardi/HL,qᵂardo/HL,qᵂardu/HL,√хъварди,o,0,0,0
200,219,НАЧИНАТЬСЯ,<что:Предл>,,√a=ža,"5sg/pl abža/L, 2sg/pl ajža",abžab/L,1 awžidu/L,√a=жа,o,infix,0,0
