id,word,roles,and_roles,root,aor,imp,inf
50,ГНИТЬ,<что:ном>,,√šanaXu,šanaXu/HHL,šanaXub/HHL,šanaXudu/HHL
51,ВЯНУТЬ,<что:ном>,,√=eč'andi,4 reč'anni/HHL,4 reč'annib/HHL,4 reč'annu/HHL
51,ВЯНУТЬ (портиться),<что:ном>,,√=Vč'o,"1 wuč'o/HL, 2 jič'o, 2pl joč'o",1 wuč'ob/HL,1 wuč'idu/HL
52,БРОДИТЬ (о тесте),<что:ном>,,√purXundi,purXunni/HHL,purXunnib/HHL,purXunnu/HHL
53,СВЕРТЫВАТЬСЯ (~ прокисать),<что:ном>,,√=etito,4 retito/HL,4 retitob/HL,4 retitidu/HL
54,ТАЯТЬ,<что:ном>,,√=V?un,"4 ri?un/H, 4pl ro?un",4 ri?um/H,4 ri?unnu/HHL
56,ГОРЕТЬ,<что:ном>,,√c'ato,c'ato/HL,c'atob/HL,c'atidu/HL
57,ЖЕЧЬ,<кто:эрг; что:ном>,,√c'ato,c'ato/HL,c'ato/HL,c'atidu/HL
58,ЗАГОРАТЬСЯ,<что:ном>,,√=Vkᵂo,"4 rikᵂo/HL, 4pl rokᵂo",4 rikᵂob/HL,4 rikudu/HL
60,"ГАСНУТЬ, ПОТУХНУТЬ",<что:ном>,,√č'ant'u,č'ant'u/HL,č'ant'ub/HL,č'ant'udu/HL
62,ОСТЫВАТЬ,<что:ном>,,√halto,halto/HL,haltob/HL,haltidu/HL
63,БОЛЕТЬ,<что:ном>,,√ruq'u,ruq'u/H,ruq'ub/H,ruq'udu/H
64,ОПУХАТЬ,<что:ном>,,√a=aXo,"5sg/pl abaXo/H, 4 araXo",1 awaXob/H,1 awaXidu/HHHL
66,ЧЕСАТЬ,<кто:эрг; что:ном>,,√qeldi,qelli/HL,qello/HL,qellu/HL
67,СЫПАТЬСЯ (рассыпаться),,,√čabdi,čabdi/F,"čabdib/F, pl čabdibul",čabdu/F
69,КАПАТЬ,<что:ном>,,√t'onk'undi,t'onk'unni/HHF,t'onk'unnib/HHF,t'onk'unnu/HHF
70,НАПОЛНЯТЬСЯ,<что:ном>,,√=Vc'i,"5 bic'i/L, 5pl boc'i",5 bic'ib/L,5 bic'idu/L
72,УДАРЯТЬ,<кто:эрг; кого:дат>,<эрг;лок> ,√kᵂ:'abdi,kᵂ:'abdi/RL,kᵂ:'abdo/RL,kᵂ:'abdu/RL
72,УДАРЯТЬ,<кто:эрг; кого:дат>,<эрг;лок> ,√ǯ:abi,ǯ:abi/H,ǯ:abo/H,ǯ:abu/H
73,БИТЬ,<кто:эрг; кого:ном>,,√č'indi,č'inni/HL,č'inno/HL,č'innu/HL
74,ЛОМАТЬСЯ,<что:ном>,,√=Vqin,"5 biqin/HL, 5pl boqin","5 biqim/HL, 5pl boqimul",5 biqinnu/HL
